VEH ,ALLATTRS,ALLATTRS,ALLATTRS,SUBN,ALLATTRS,19721201,BK   ,ALLATTRS,N,N
VEH ,ALLATTRS,ALLATTRS,ALLATTRS,SUBN,ALLATTRS,20190401,BK   ,ALLATTRS,N,N
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,19721201,ALLATTRS,ALLATTRS,N,ALLATTRS
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,20190401,ALLATTRS,ALLATTRS,N,ALLATTRS
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,20125983.809356414,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,20190401,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS
VEH ,PAS,ALLATTRS,MONROE      ,ALLATTRS,GAS     ,20180674.78430275,WH   ,N,N,ALLATTRS
VEH ,PAS,ALLATTRS,MONROE      ,ALLATTRS,GAS     ,20181557.21569725,WH   ,N,N,ALLATTRS
VEH ,PAS,NY,ONEIDA      ,4DSD,GAS     ,19977261.390427403,GY   ,N,ALLATTRS,N
VEH ,PAS,NY,ONEIDA      ,4DSD,GAS     ,20190401,GY   ,N,ALLATTRS,N
VEH ,ALLATTRS,NJ,ALLATTRS,SUBN,GAS     ,19984518.626913767,ALLATTRS,ALLATTRS,ALLATTRS,N
VEH ,ALLATTRS,NJ,ALLATTRS,SUBN,GAS     ,20190401,ALLATTRS,ALLATTRS,ALLATTRS,N
VEH ,ALLATTRS,NY,NASSAU      ,SUBN,GAS     ,19721201,BK   ,N,N,N
VEH ,ALLATTRS,NY,NASSAU      ,SUBN,GAS     ,20190401,BK   ,N,N,N
ALLATTRS,PAS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20093283.81285534,GY   ,N,ALLATTRS,N
ALLATTRS,PAS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20190401,GY   ,N,ALLATTRS,N
ALLATTRS,PAS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,20112631.31994477,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS
ALLATTRS,PAS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,20190401,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS
VEH ,SRF,NY,SUFFOLK     ,ALLATTRS,GAS     ,20140469.652614173,BK   ,N,N,N
VEH ,SRF,NY,SUFFOLK     ,ALLATTRS,GAS     ,20190401,BK   ,N,N,N
BOAT,BOT,FL,OUTOFSTATE,BOAT,GAS     ,20122732.47940182,     ,N,N,N
BOAT,BOT,FL,OUTOFSTATE,BOAT,GAS     ,20190401,     ,N,N,N
VEH ,PAS,NY,NEW YORK    ,SUBN,ALLATTRS,20174552.963407084,WH   ,N,N,ALLATTRS
VEH ,PAS,NY,NEW YORK    ,SUBN,ALLATTRS,20187667.036592916,WH   ,N,N,ALLATTRS
VEH ,ALLATTRS,NY,QUEENS      ,SUBN,GAS     ,19721201,GY   ,N,N,ALLATTRS
VEH ,ALLATTRS,NY,QUEENS      ,SUBN,GAS     ,20190401,GY   ,N,N,ALLATTRS
VEH ,PAS,NY,ALLATTRS,4DSD,ALLATTRS,20042403.302191585,GR   ,ALLATTRS,N,N
VEH ,PAS,NY,ALLATTRS,4DSD,ALLATTRS,20190401,GR   ,ALLATTRS,N,N
VEH ,ALLATTRS,ALLATTRS,ALLATTRS,4DSD,GAS     ,19953817.079557322,ALLATTRS,N,N,N
VEH ,ALLATTRS,ALLATTRS,ALLATTRS,4DSD,GAS     ,20190401,ALLATTRS,N,N,N
VEH ,PAS,ALLATTRS,ONEIDA      ,SUBN,GAS     ,20129652.414825313,WH   ,ALLATTRS,N,N
VEH ,PAS,ALLATTRS,ONEIDA      ,SUBN,GAS     ,20190401,WH   ,ALLATTRS,N,N
VEH ,ATV,NY,ALLATTRS,ALLATTRS,GAS     ,20123094.339428775,GR   ,N,N,ALLATTRS
VEH ,ATV,NY,ALLATTRS,ALLATTRS,GAS     ,20190401,GR   ,N,N,ALLATTRS
ALLATTRS,COM,ALLATTRS,ALLATTRS,VAN ,GAS     ,20154349.870649364,ALLATTRS,N,N,N
ALLATTRS,COM,ALLATTRS,ALLATTRS,VAN ,GAS     ,20186868.129350636,ALLATTRS,N,N,N
ALLATTRS,ALLATTRS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20114142.784621976,RD   ,ALLATTRS,ALLATTRS,ALLATTRS
ALLATTRS,ALLATTRS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20190401,RD   ,ALLATTRS,ALLATTRS,ALLATTRS
ALLATTRS,COM,BC,FULTON      ,P/SH,GAS     ,19721201,GR/WH,N,Y,Y
ALLATTRS,COM,BC,FULTON      ,P/SH,GAS     ,19746817.063306145,GR/WH,N,Y,Y
ALLATTRS,ALLATTRS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20179080.25232054,ALLATTRS,ALLATTRS,N,N
ALLATTRS,ALLATTRS,NY,ALLATTRS,ALLATTRS,ALLATTRS,20181361.74767946,ALLATTRS,ALLATTRS,N,N
VEH ,ALLATTRS,ALLATTRS,CLINTON     ,ATV ,GAS     ,19964331.743170954,YW   ,N,N,N
VEH ,ALLATTRS,ALLATTRS,CLINTON     ,ATV ,GAS     ,20190401,YW   ,N,N,N
VEH ,SPO,NY,DUTCHESS    ,SUBN,GAS     ,20175864.734397516,BL   ,N,N,N
VEH ,SPO,NY,DUTCHESS    ,SUBN,GAS     ,20184959.265602484,BL   ,N,N,N
ALLATTRS,TRL,NY,JEFFERSON   ,TRLR,NONE    ,20186348.996465683,GY   ,ALLATTRS,N,N
ALLATTRS,TRL,NY,JEFFERSON   ,TRLR,NONE    ,20190401,GY   ,ALLATTRS,N,N
VEH ,PAS,NY,SUFFOLK     ,4DSD,GAS     ,20127318.263677903,ALLATTRS,N,N,ALLATTRS
VEH ,PAS,NY,SUFFOLK     ,4DSD,GAS     ,20190401,ALLATTRS,N,N,ALLATTRS
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,GAS     ,20159786.985347122,BL   ,N,N,N
ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,GAS     ,20190401,BL   ,N,N,N
VEH ,PAS,NY,NASSAU      ,ALLATTRS,GAS     ,19721201,ALLATTRS,ALLATTRS,ALLATTRS,N
VEH ,PAS,NY,NASSAU      ,ALLATTRS,GAS     ,20190401,ALLATTRS,ALLATTRS,ALLATTRS,N
VEH ,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,GAS     ,19721201,ALLATTRS,N,ALLATTRS,ALLATTRS
VEH ,ALLATTRS,ALLATTRS,ALLATTRS,ALLATTRS,GAS     ,20190401,ALLATTRS,N,ALLATTRS,ALLATTRS
VEH ,SRF,NY,RICHMOND    ,CONV,ALLATTRS,20162320.22647783,RD   ,N,ALLATTRS,N
VEH ,SRF,NY,RICHMOND    ,CONV,ALLATTRS,20180117.77352217,RD   ,N,ALLATTRS,N
VEH ,ALLATTRS,NJ,OUTOFSTATE,ALLATTRS,DIESEL  ,19721201,WH   ,ALLATTRS,N,N
